ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2024;P215;Praça Sérgio Loreto;São José;Praça Sérgio Loreto, 55 - Ao lado do prédio Esquina do Galo.;1;5;10;-8.07224; -34.88497 
2024;P216;Praça Nelson Ferreira;Santo Amaro;Rua dos Palmares, 162 - Cruzamento com a Rua Palmares x Rua Coelho Leite.;1;5;10;-8.05298; -34.88291 
2024;P217;Rua Duque de Caxias;Santo Antônio;Rua Duque de Caxias, 175 - Em frente a praça da Independência, ao lado da Crefaz.;1;5;10;-8.06401; -34.8765 
2024;P218;Rua Corredor do Bispo;Boa Vista;Rua Corredor do Bispo, 185 - Em frente a ArtFast – Gráfica e Editora.;1;5;10;-8.05761; -34.887 
2024;P219;Liceu/Nóbrega;Santo Amaro;Rua do Príncipe, 526 - Em frente a Escola Liceu/Nóbrega.;1;5;10;-8.05585; -34.88799 
2024;P220;Rua João Fernandes Vieira;Boa Vista;Rua João Fernandes Vieira, 1 - Calçada do Edf. Vita Classic, próximo a Rua Soledade.;1;5;10;-8.05619; -34.89004 
2024;P221;Smartlet;Santo Amaro;Av. Alfredo Lisboa, 578 – Recife;1;5;10;-8.06155; -34.87066 
2024;P222;INSS (Rua dos Palmares);Santo Amaro;"Rua dos Palmares, 343 - na calçada, ao lado do fiteiro na entrada do INSS
";1;5;10;-8.05254; -34.88405 
2024;P223;Praça do Campo Santo (UTEC);Santo Amaro;Avenida da Saudade, 303 - em frente a UTEC, ao lado dos quiosques de alimentação ;1;5;10;-8.05088; -34.88297 
2024;P224;Praça Dom Vital;São José;Praça Dom Vital  - em frente da Igreja, atrás da estátua;1;5;10;-8.06819; -34.87836 
2024;P225;Praça Numa Pompilho;Santo Amaro;Rua Numa Pompilho - na Praça Numa Pompilho, em frente ao lote 48;1;5;10;-8.0479; -34.88305 
2024;P226;Praça Otília;Boa Vista;Av. Gov. Agamenon Magalhães - na esquina com a Rua Monte Castelo e a Rua Montevidéu;1;5;10;-8.04957; -34.89308 
2024;P227;Agência Caixa (Rua Dr. Leopoldo Lins);Boa Vista;Av. Gov. Agamenon Magalhães, 2997 - em frente a Caixa Econômica Federal;1;5;10;-8.04882; -34.89253 
2024;P228;Campo do Onze;Santo Amaro;Av. Dr. Jayme da Fonte - na calçada entre as árvores;1;5;10;-8.04053; -34.87863 
2024;P229;Casa da Cultura;Santo Antônio;Rua Floriano Peixoto - na calçada, ao lado do Quiosque do Tio Aldo;1;5;10;-8.06628; -34.88263 
2024;P230;CEHAB;Campo Grande;Rua Odorico Mendes, 700 - na calçada, entre o portão de acesso e a Rua Nova;2;5;10;-8.03826; -34.8796 
2024;P231;Igreja de São Gonçalo;Boa Vista;Beco São Gonçalo, S/N - na calçada, em frente a Igreja de São Gonçalo;1;5;10;-8.06456; -34.88955 
2024;P232;Igreja de Nossa Sra do Rosário dos Pretos;Santo Antônio;R. Larga do Rosário, 97 -  em frente a Igreja Nossa Senhora do Rosário dos Pretos;1;5;10;-8.06514; -34.87786 
2024;P233;Ministério do Trabalho e Emprego (MTE);Espinheiro;Av. Gov. Agamenon Magalhães, 2000 - próximo a entrada no MTE;3;5;10;-8.043; -34.88729 
2024;P234;Praça Agamenon (Ilha do Joaneiro) ;Campo Grande;Av. Gov. Agamenon Magalhães, próximo a igreja Assembléia de Deus Ilha do Joaneiro;2;5;10;-8.04036; -34.88127 
2024;P235;Quadra Kássio Rinaldo ;Santo Amaro;Av. Gov. Agamenon Magalhães, 185 pista principal - próximo a quadra Kássio Rinaldo;1;5;10;-8.04165; -34.88193 
2024;P236;Praça Aurora ;Boa Vista;R. da Aurora, lado oposto ao lote nº1675  - na calçada, ao lado do Bike-PE;1;5;10;-8.05085; -34.87419 
2024;P237;Quadra de Futsal da Aurora ;Santo Amaro;R. da Aurora, lado oposto ao nº 1147 - entre a quadra de futsal e a pista de skate;1;5;10;-8.05468; -34.87678 
2024;P238;Rua da Moeda (Moedão) ;Recife;R. da Moeda - em frente ao lote nº 88;1;5;10;-8.06456; -34.87263 
2024;P239;Rua do Bom Jesus ;Recife;Rua do Bom Jesus, 188 - na calçada, por trás da Delegacia do Rio Branco;1;5;10;-8.06233; -34.87146 
2024;P240;Rua dos Amores ;Recife;Av. Barbosa Lima, S/N - próximo ao portal da Rua dos Amores;1;5;10;-8.06193; -34.87274 
2024;P241;Escola Municipal Novo Mangue ;Ilha Joana Bezerra;Av. Central, 40  - na lateral da escola;1;5;10;-8.07524; -34.90351 
2024;P242;Praça na Rua Epaminondas de Melo 01;Paissandu;R. Epaminondas de Melo, s/n - na praça, em frente ao Bradesco Prime;1;3;6;-8.06014; -34.8982 
